t,ferr
0.000000,0.00099829
0.001000,0.00129653
0.002000,0.00125538
0.003000,0.00128596
0.004000,0.00154465
0.005000,0.00087355
0.006000,0.00105318
0.007000,0.00091473
0.008000,0.00125294
0.009000,0.00156454
0.010000,0.00134432
0.011000,0.00150874
0.012000,0.00094203
0.013000,0.00149144
0.014000,0.00126288
0.015000,0.00196839
0.016000,0.00178118
0.017000,0.00183173
0.018000,0.00161483
0.019000,0.00181741
0.020000,0.00186355
0.021000,0.00164786
0.022000,0.00164448
0.023000,0.00177498
0.024000,0.00168715
0.025000,0.00172476
0.026000,0.00183732
0.027000,0.00176086
0.028000,0.00216933
0.029000,0.00161350
0.030000,0.00225316
0.031000,0.00192562
0.032000,0.00198025
0.033000,0.00181373
0.034000,0.00215007
0.035000,0.00215888
0.036000,0.00230331
0.037000,0.00215664
0.038000,0.00234813
0.039000,0.00281420
0.040000,0.00249610
0.041000,0.00228498
0.042000,0.00270120
0.043000,0.00246523
0.044000,0.00268038
0.045000,0.00271955
0.046000,0.00250303
0.047000,0.00215264
0.048000,0.00258268
0.049000,0.00284181
0.050000,0.00264325
0.051000,0.00288233
0.052000,0.00305175
0.053000,0.00270508
0.054000,0.00318317
0.055000,0.00331497
0.056000,0.00321344
0.057000,0.00326918
0.058000,0.00328612
0.059000,0.00360962
0.060000,0.00312649
0.061000,0.00311456
0.062000,0.00329879
0.063000,0.00295490
0.064000,0.00282756
0.065000,0.00302923
0.066000,0.00337671
0.067000,0.00343564
0.068000,0.00296705
0.069000,0.00291401
0.070000,0.00333953
0.071000,0.00340521
0.072000,0.00347355
0.073000,0.00368727
0.074000,0.00386018
0.075000,0.00364420
0.076000,0.00377311
0.077000,0.00337956
0.078000,0.00339266
0.079000,0.00377914
0.080000,0.00391955
0.081000,0.00396820
0.082000,0.00396803
0.083000,0.00404906
0.084000,0.00408860
0.085000,0.00348118
0.086000,0.00376872
0.087000,0.00409904
0.088000,0.00416736
0.089000,0.00367307
0.090000,0.00437721
0.091000,0.00400704
0.092000,0.00409140
0.093000,0.00425067
0.094000,0.00440228
0.095000,0.00388920
0.096000,0.00452751
0.097000,0.00433187
0.098000,0.00415230
0.099000,0.00430859
0.100000,0.00386330
0.101000,0.00428015
0.102000,0.00451978
0.103000,0.00432923
0.104000,0.00445663
0.105000,0.00453403
0.106000,0.00461485
0.107000,0.00488988
0.108000,0.00466042
0.109000,0.00463351
0.110000,0.00486497
0.111000,0.00528121
0.112000,0.00470806
0.113000,0.00495359
0.114000,0.00446262
0.115000,0.00522483
0.116000,0.00508476
0.117000,0.00528450
0.118000,0.00496787
0.119000,0.00475320
0.120000,0.00526664
0.121000,0.00526464
0.122000,0.00489058
0.123000,0.00477012
0.124000,0.00528160
0.125000,0.00515736
0.126000,0.00588407
0.127000,0.00510823
0.128000,0.00516034
0.129000,0.00529542
0.130000,0.00493741
0.131000,0.00516190
0.132000,0.00582569
0.133000,0.00541211
0.134000,0.00532315
0.135000,0.00518750
0.136000,0.00568074
0.137000,0.00573028
0.138000,0.00565983
0.139000,0.00552836
0.140000,0.00573191
0.141000,0.00578072
0.142000,0.00554483
0.143000,0.00590029
0.144000,0.00524544
0.145000,0.00548153
0.146000,0.00575724
0.147000,0.00583545
0.148000,0.00560079
0.149000,0.00600325
0.150000,0.00621410
0.151000,0.00609202
0.152000,0.00606436
0.153000,0.00624419
0.154000,0.00616707
0.155000,0.00580911
0.156000,0.00607273
0.157000,0.00647479
0.158000,0.00589609
0.159000,0.00622447
0.160000,0.00613996
0.161000,0.00604100
0.162000,0.00604081
0.163000,0.00634705
0.164000,0.00642866
0.165000,0.00645501
0.166000,0.00604410
0.167000,0.00636120
0.168000,0.00654751
0.169000,0.00672539
0.170000,0.00668433
0.171000,0.00675154
0.172000,0.00684527
0.173000,0.00680423
0.174000,0.00642163
0.175000,0.00666703
0.176000,0.00650124
0.177000,0.00611107
0.178000,0.00631305
0.179000,0.00728224
0.180000,0.00650734
0.181000,0.00625270
0.182000,0.00669348
0.183000,0.00724615
0.184000,0.00688113
0.185000,0.00702059
0.186000,0.00687710
0.187000,0.00694989
0.188000,0.00731329
0.189000,0.00722146
0.190000,0.00702664
0.191000,0.00729675
0.192000,0.00736802
0.193000,0.00707007
0.194000,0.00721772
0.195000,0.00723903
0.196000,0.00703360
0.197000,0.00751347
0.198000,0.00720897
0.199000,0.00712075
0.200000,0.00688146
0.201000,0.00700875
0.202000,0.00773105
0.203000,0.00708918
0.204000,0.00750598
0.205000,0.00733111
0.206000,0.00757493
0.207000,0.00762177
0.208000,0.00730113
0.209000,0.00744614
0.210000,0.00756774
0.211000,0.00759524
0.212000,0.00758308
0.213000,0.00753539
0.214000,0.00779445
0.215000,0.00798967
0.216000,0.00781871
0.217000,0.00752164
0.218000,0.00782864
0.219000,0.00776781
0.220000,0.00789072
0.221000,0.00825919
0.222000,0.00776706
0.223000,0.00784014
0.224000,0.00764371
0.225000,0.00781538
0.226000,0.00776748
0.227000,0.00833176
0.228000,0.00802973
0.229000,0.00783258
0.230000,0.00847964
0.231000,0.00768684
0.232000,0.00825569
0.233000,0.00831583
0.234000,0.00822654
0.235000,0.00803894
0.236000,0.00809294
0.237000,0.00806038
0.238000,0.00836361
0.239000,0.00760559
0.240000,0.00808063
0.241000,0.00826694
0.242000,0.00810406
0.243000,0.00781524
0.244000,0.00822911
0.245000,0.00812109
0.246000,0.00852990
0.247000,0.00869902
0.248000,0.00838674
0.249000,0.00790547
0.250000,0.00835945
0.251000,0.00819685
0.252000,0.00861765
0.253000,0.00888916
0.254000,0.00856469
0.255000,0.00901307
0.256000,0.00890171
0.257000,0.00871589
0.258000,0.00834527
0.259000,0.00863101
0.260000,0.00826233
0.261000,0.00890309
0.262000,0.00869314
0.263000,0.00902616
0.264000,0.00877438
0.265000,0.00823600
0.266000,0.00890162
0.267000,0.00899084
0.268000,0.00919192
0.269000,0.00855044
0.270000,0.00858013
0.271000,0.00884406
0.272000,0.00858087
0.273000,0.00851686
0.274000,0.00860332
0.275000,0.00954045
0.276000,0.00874961
0.277000,0.00866802
0.278000,0.00882401
0.279000,0.00895117
0.280000,0.00928831
0.281000,0.00921732
0.282000,0.00919355
0.283000,0.00902287
0.284000,0.00906631
0.285000,0.00888282
0.286000,0.00868101
0.287000,0.00958200
0.288000,0.00897303
0.289000,0.00935507
0.290000,0.00903718
0.291000,0.00910797
0.292000,0.00910648
0.293000,0.00881471
0.294000,0.00915350
0.295000,0.00928216
0.296000,0.00940797
0.297000,0.00933788
0.298000,0.00948290
0.299000,0.00931485
0.300000,0.00925299
0.301000,0.00877570
0.302000,0.00914621
0.303000,0.00968154
0.304000,0.00933635
0.305000,0.00951782
0.306000,0.00927819
0.307000,0.00917524
0.308000,0.00986797
0.309000,0.00945779
0.310000,0.00975421
0.311000,0.00952513
0.312000,0.00933057
0.313000,0.00885491
0.314000,0.00945038
0.315000,0.00904732
0.316000,0.00889499
0.317000,0.00977181
0.318000,0.00965332
0.319000,0.00964412
0.320000,0.00950671
0.321000,0.00949596
0.322000,0.00962137
