t,ferr
0.000000,0.00145669
0.001000,0.00861598
0.002000,0.00841226
0.003000,-0.00119625
0.004000,-0.00763241
0.005000,-0.00419380
0.006000,0.00607358
0.007000,0.01042124
0.008000,0.00449374
0.009000,-0.00492764
0.010000,-0.00739864
0.011000,0.00005899
0.012000,0.00907077
0.013000,0.00934024
0.014000,0.00040763
0.015000,-0.00749124
0.016000,-0.00497022
0.017000,0.00442113
0.018000,0.01113869
0.019000,0.00592183
0.020000,-0.00353921
0.021000,-0.00738539
0.022000,-0.00019992
0.023000,0.00914029
0.024000,0.01010392
0.025000,0.00206448
0.026000,-0.00687331
0.027000,-0.00505282
0.028000,0.00370429
0.029000,0.01096397
0.030000,0.00752806
0.031000,-0.00253380
0.032000,-0.00742262
0.033000,-0.00168633
0.034000,0.00818030
0.035000,0.01101804
0.036000,0.00337844
0.037000,-0.00583888
0.038000,-0.00605733
0.039000,0.00340678
0.040000,0.01053037
0.041000,0.00832588
0.042000,-0.00142103
0.043000,-0.00684238
0.044000,-0.00217306
0.045000,0.00778997
0.046000,0.01141393
0.047000,0.00442758
0.048000,-0.00465596
0.049000,-0.00565003
0.050000,0.00237270
0.051000,0.01092530
0.052000,0.00952204
0.053000,0.00042367
0.054000,-0.00641573
0.055000,-0.00269230
0.056000,0.00708217
0.057000,0.01220093
0.058000,0.00590945
0.059000,-0.00378008
0.060000,-0.00627915
0.061000,0.00167566
0.062000,0.01035094
0.063000,0.01037239
0.064000,0.00178574
0.065000,-0.00570575
0.066000,-0.00336408
0.067000,0.00557179
0.068000,0.01184931
0.069000,0.00707743
0.070000,-0.00280845
0.071000,-0.00622571
0.072000,0.00113346
0.073000,0.01004314
0.074000,0.01120343
0.075000,0.00323089
0.076000,-0.00525767
0.077000,-0.00397758
0.078000,0.00526133
0.079000,0.01223525
0.080000,0.00872678
0.081000,-0.00171240
0.082000,-0.00637946
0.083000,0.00013891
0.084000,0.00982822
0.085000,0.01197881
0.086000,0.00424961
0.087000,-0.00447211
0.088000,-0.00469794
0.089000,0.00449821
0.090000,0.01264920
0.091000,0.00983381
0.092000,0.00039504
0.093000,-0.00574449
0.094000,-0.00080179
0.095000,0.00935740
0.096000,0.01234680
0.097000,0.00584363
0.098000,-0.00349714
0.099000,-0.00460229
0.100000,0.00409909
0.101000,0.01226548
0.102000,0.01050468
0.103000,0.00142273
0.104000,-0.00548351
0.105000,-0.00182040
0.106000,0.00882019
0.107000,0.01284239
0.108000,0.00737430
0.109000,-0.00256163
0.110000,-0.00460401
0.111000,0.00292149
0.112000,0.01184672
0.113000,0.01182096
0.114000,0.00319293
0.115000,-0.00492645
0.116000,-0.00238855
0.117000,0.00726235
0.118000,0.01371835
0.119000,0.00856745
0.120000,-0.00147286
0.121000,-0.00493748
0.122000,0.00259304
0.123000,0.01138014
0.124000,0.01288475
0.125000,0.00445536
0.126000,-0.00399727
0.127000,-0.00290227
0.128000,0.00662596
0.129000,0.01342139
0.130000,0.00933803
0.131000,0.00068296
0.132000,-0.00447791
0.133000,0.00116240
0.134000,0.01082993
0.135000,0.01316909
0.136000,0.00600080
0.137000,-0.00321601
0.138000,-0.00302562
0.139000,0.00548810
0.140000,0.01358041
0.141000,0.01154785
0.142000,0.00127564
0.143000,-0.00424670
0.144000,0.00035439
0.145000,0.01052447
0.146000,0.01418238
0.147000,0.00717815
0.148000,-0.00236809
0.149000,-0.00337393
0.150000,0.00494573
0.151000,0.01316166
0.152000,0.01221265
0.153000,0.00281537
0.154000,-0.00426818
0.155000,-0.00040699
0.156000,0.01025312
0.157000,0.01451850
0.158000,0.00854310
0.159000,-0.00055434
0.160000,-0.00373513
0.161000,0.00340905
0.162000,0.01253055
0.163000,0.01264975
0.164000,0.00416031
0.165000,-0.00326548
0.166000,-0.00156827
0.167000,0.00899903
0.168000,0.01425311
0.169000,0.00987736
0.170000,0.00007195
0.171000,-0.00355809
0.172000,0.00313358
0.173000,0.01261033
0.174000,0.01354487
0.175000,0.00556317
0.176000,-0.00259774
0.177000,-0.00134907
0.178000,0.00850813
0.179000,0.01492311
0.180000,0.01121114
0.181000,0.00158737
0.182000,-0.00351591
0.183000,0.00194061
0.184000,0.01144738
0.185000,0.01480902
0.186000,0.00702557
0.187000,-0.00184054
0.188000,-0.00211497
0.189000,0.00703160
0.190000,0.01506353
0.191000,0.01223532
0.192000,0.00216969
0.193000,-0.00345736
0.194000,0.00178567
0.195000,0.01106616
0.196000,0.01435726
0.197000,0.00767294
0.198000,-0.00148266
0.199000,-0.00216893
0.200000,0.00603079
0.201000,0.01419673
0.202000,0.01284368
0.203000,0.00374172
0.204000,-0.00302640
0.205000,0.00053579
0.206000,0.01051386
0.207000,0.01517227
0.208000,0.01001464
0.209000,-0.00073226
0.210000,-0.00255276
0.211000,0.00480901
0.212000,0.01421461
0.213000,0.01399788
0.214000,0.00521015
0.215000,-0.00235701
0.216000,0.00004156
0.217000,0.00997971
0.218000,0.01522066
0.219000,0.01105591
0.220000,0.00090219
0.221000,-0.00257384
0.222000,0.00451420
0.223000,0.01383824
0.224000,0.01531152
0.225000,0.00591284
0.226000,-0.00210362
0.227000,-0.00036545
0.228000,0.00854249
0.229000,0.01557298
0.230000,0.01241891
0.231000,0.00234863
0.232000,-0.00286225
0.233000,0.00332708
0.234000,0.01311523
0.235000,0.01544929
0.236000,0.00779699
0.237000,-0.00108244
0.238000,-0.00147639
0.239000,0.00790345
0.240000,0.01527357
0.241000,0.01316829
0.242000,0.00347006
0.243000,-0.00266263
0.244000,0.00249851
0.245000,0.01232941
0.246000,0.01588975
0.247000,0.00932137
0.248000,-0.00033682
0.249000,-0.00155471
0.250000,0.00690902
0.251000,0.01524792
0.252000,0.01432295
0.253000,0.00404493
0.254000,-0.00220019
0.255000,0.00103269
0.256000,0.01129898
0.257000,0.01627219
0.258000,0.01040505
0.259000,0.00093673
0.260000,-0.00167357
0.261000,0.00520212
0.262000,0.01457775
0.263000,0.01526006
0.264000,0.00631822
0.265000,-0.00166064
0.266000,0.00040155
0.267000,0.01106899
0.268000,0.01583316
0.269000,0.01167898
0.270000,0.00172293
0.271000,-0.00183499
0.272000,0.00459988
0.273000,0.01421957
0.274000,0.01584206
