t,ferr
0.000000,0.00240855
0.001000,0.00290059
0.002000,0.00302748
0.003000,0.00275436
0.004000,0.00296808
0.005000,0.00307135
0.006000,0.00350624
0.007000,0.00351039
0.008000,0.00387171
0.009000,0.00338371
0.010000,0.00439772
0.011000,0.00414249
0.012000,0.00449718
0.013000,0.00445340
0.014000,0.00455319
0.015000,0.00492413
0.016000,0.00517483
0.017000,0.00507838
0.018000,0.00525109
0.019000,0.00562094
0.020000,0.00539211
0.021000,0.00539122
0.022000,0.00602864
0.023000,0.00592228
0.024000,0.00576980
0.025000,0.00620628
0.026000,0.00645274
0.027000,0.00643112
0.028000,0.00651601
0.029000,0.00705793
0.030000,0.00743266
0.031000,0.00730956
0.032000,0.00734137
0.033000,0.00778286
0.034000,0.00802518
0.035000,0.00793005
0.036000,0.00830031
0.037000,0.00858386
0.038000,0.00843032
0.039000,0.00843749
0.040000,0.00888650
0.041000,0.00902010
0.042000,0.00939144
0.043000,0.00895401
0.044000,0.00926806
0.045000,0.00938212
0.046000,0.00931625
0.047000,0.00993935
0.048000,0.01019755
0.049000,0.01003865
0.050000,0.01072738
0.051000,0.01074395
0.052000,0.01085269
0.053000,0.01095352
0.054000,0.01124913
0.055000,0.01083420
0.056000,0.01147752
0.057000,0.01163145
0.058000,0.01119539
0.059000,0.01188051
0.060000,0.01188743
0.061000,0.01230156
0.062000,0.01215240
0.063000,0.01241344
0.064000,0.01265939
0.065000,0.01251014
0.066000,0.01303421
0.067000,0.01301353
0.068000,0.01331793
0.069000,0.01321922
0.070000,0.01377593
0.071000,0.01381021
0.072000,0.01376877
0.073000,0.01412544
0.074000,0.01443640
0.075000,0.01472308
0.076000,0.01403553
0.077000,0.01480316
0.078000,0.01485191
0.079000,0.01486526
0.080000,0.01478994
0.081000,0.01550859
0.082000,0.01503135
0.083000,0.01564081
0.084000,0.01597663
0.085000,0.01540314
0.086000,0.01587910
0.087000,0.01577890
0.088000,0.01631847
0.089000,0.01678710
0.090000,0.01706522
0.091000,0.01626542
0.092000,0.01671660
0.093000,0.01718639
0.094000,0.01755529
0.095000,0.01741546
0.096000,0.01727310
0.097000,0.01768318
0.098000,0.01775375
0.099000,0.01785575
0.100000,0.01787161
0.101000,0.01830035
0.102000,0.01842856
0.103000,0.01847615
0.104000,0.01859154
0.105000,0.01847304
0.106000,0.01881978
0.107000,0.01938974
0.108000,0.01918704
0.109000,0.01902104
0.110000,0.01986060
0.111000,0.01980532
0.112000,0.02034527
0.113000,0.01997910
0.114000,0.01999308
0.115000,0.01989119
0.116000,0.02072847
0.117000,0.02118402
0.118000,0.02048026
0.119000,0.02066728
0.120000,0.02112139
0.121000,0.02090775
0.122000,0.02119040
0.123000,0.02131300
0.124000,0.02159057
0.125000,0.02195812
0.126000,0.02183146
0.127000,0.02219690
0.128000,0.02200313
0.129000,0.02233068
0.130000,0.02185449
0.131000,0.02216658
0.132000,0.02286774
0.133000,0.02266062
0.134000,0.02309221
0.135000,0.02322157
0.136000,0.02355499
0.137000,0.02356550
0.138000,0.02375458
0.139000,0.02360988
0.140000,0.02360037
0.141000,0.02372886
0.142000,0.02392622
0.143000,0.02390192
0.144000,0.02418333
0.145000,0.02443252
0.146000,0.02465369
0.147000,0.02464086
0.148000,0.02437910
0.149000,0.02497605
0.150000,0.02518421
0.151000,0.02553239
0.152000,0.02553879
0.153000,0.02536612
0.154000,0.02547840
0.155000,0.02629398
0.156000,0.02611210
0.157000,0.02651206
0.158000,0.02671745
0.159000,0.02611109
0.160000,0.02654208
0.161000,0.02669008
0.162000,0.02684486
0.163000,0.02696946
0.164000,0.02701316
0.165000,0.02713446
0.166000,0.02684320
0.167000,0.02730499
0.168000,0.02728657
0.169000,0.02763174
0.170000,0.02760968
0.171000,0.02800717
0.172000,0.02818288
0.173000,0.02818046
0.174000,0.02830711
0.175000,0.02837569
0.176000,0.02836449
0.177000,0.02855889
0.178000,0.02859928
0.179000,0.02894296
0.180000,0.02897186
0.181000,0.02923561
0.182000,0.02887966
0.183000,0.02955490
0.184000,0.02926299
0.185000,0.02939039
0.186000,0.02964448
0.187000,0.02967245
0.188000,0.03000511
0.189000,0.02990740
0.190000,0.02990175
0.191000,0.03007542
0.192000,0.03073220
0.193000,0.03053216
0.194000,0.03034567
0.195000,0.03075567
0.196000,0.03048017
0.197000,0.03143170
0.198000,0.03071789
0.199000,0.03133296
0.200000,0.03146300
0.201000,0.03107797
0.202000,0.03162846
0.203000,0.03191516
0.204000,0.03189479
0.205000,0.03195472
0.206000,0.03223786
0.207000,0.03215147
0.208000,0.03230555
0.209000,0.03229951
0.210000,0.03259842
0.211000,0.03231394
0.212000,0.03285558
0.213000,0.03263920
0.214000,0.03260028
0.215000,0.03307120
0.216000,0.03350960
0.217000,0.03343278
0.218000,0.03316898
0.219000,0.03357746
0.220000,0.03339396
0.221000,0.03358061
0.222000,0.03373760
0.223000,0.03323905
0.224000,0.03396890
0.225000,0.03376575
0.226000,0.03395048
0.227000,0.03385741
0.228000,0.03394756
0.229000,0.03419108
0.230000,0.03473300
0.231000,0.03504232
0.232000,0.03471822
0.233000,0.03509568
0.234000,0.03485446
0.235000,0.03453967
0.236000,0.03515185
0.237000,0.03532199
0.238000,0.03519912
0.239000,0.03547702
0.240000,0.03563929
0.241000,0.03537447
0.242000,0.03531477
0.243000,0.03572182
0.244000,0.03581700
0.245000,0.03587371
0.246000,0.03630029
0.247000,0.03657595
0.248000,0.03613095
0.249000,0.03649987
0.250000,0.03664990
0.251000,0.03668194
0.252000,0.03685399
0.253000,0.03658274
0.254000,0.03695242
0.255000,0.03736046
0.256000,0.03714160
0.257000,0.03687153
0.258000,0.03726371
0.259000,0.03751212
0.260000,0.03737298
0.261000,0.03722355
0.262000,0.03783331
0.263000,0.03721768
0.264000,0.03773803
0.265000,0.03768964
0.266000,0.03747622
0.267000,0.03815992
0.268000,0.03802190
0.269000,0.03772255
0.270000,0.03824345
0.271000,0.03806334
0.272000,0.03777321
0.273000,0.03815380
0.274000,0.03846848
0.275000,0.03863752
0.276000,0.03859544
0.277000,0.03864023
0.278000,0.03882077
0.279000,0.03872431
0.280000,0.03914451
0.281000,0.03896008
0.282000,0.03906849
0.283000,0.03920173
0.284000,0.03887320
0.285000,0.03903058
0.286000,0.03965985
0.287000,0.03943079
0.288000,0.03934500
0.289000,0.03956914
0.290000,0.03943091
0.291000,0.03968792
0.292000,0.03951821
0.293000,0.03981951
0.294000,0.03942132
0.295000,0.04021315
0.296000,0.03981627
0.297000,0.03961271
0.298000,0.04001499
0.299000,0.04004055
0.300000,0.04023317
0.301000,0.03996995
0.302000,0.04041623
0.303000,0.04128277
0.304000,0.04011664
0.305000,0.04057959
0.306000,0.04047573
0.307000,0.04065924
0.308000,0.04021521
0.309000,0.04043690
0.310000,0.04089547
0.311000,0.04082626
0.312000,0.04129939
0.313000,0.04076850
0.314000,0.04104185
0.315000,0.04177944
0.316000,0.04091210
0.317000,0.04092927
0.318000,0.04119759
0.319000,0.04124577
0.320000,0.04151790
0.321000,0.04138859
0.322000,0.04121576
0.323000,0.04150594
0.324000,0.04216027
0.325000,0.04186550
0.326000,0.04089835
0.327000,0.04160411
0.328000,0.04146597
0.329000,0.04188482
0.330000,0.04172985
0.331000,0.04229965
0.332000,0.04209198
0.333000,0.04212385
0.334000,0.04198937
0.335000,0.04197352
0.336000,0.04210890
0.337000,0.04238732
0.338000,0.04223613
0.339000,0.04205318
0.340000,0.04249754
0.341000,0.04226399
0.342000,0.04223314
0.343000,0.04209067
0.344000,0.04218237
0.345000,0.04219959
0.346000,0.04169464
0.347000,0.04268044
0.348000,0.04260073
0.349000,0.04243782
0.350000,0.04278453
0.351000,0.04266356
0.352000,0.04267737
0.353000,0.04199558
0.354000,0.04258519
0.355000,0.04280504
0.356000,0.04310235
0.357000,0.04318731
0.358000,0.04311038
0.359000,0.04248959
0.360000,0.04225601
0.361000,0.04297287
0.362000,0.04286135
0.363000,0.04311866
0.364000,0.04286950
0.365000,0.04297823
0.366000,0.04256999
0.367000,0.04307807
0.368000,0.04287529
0.369000,0.04309383
0.370000,0.04314038
0.371000,0.04301479
0.372000,0.04314124
0.373000,0.04307595
0.374000,0.04328584
0.375000,0.04323754
0.376000,0.04299073
0.377000,0.04299536
0.378000,0.04359245
0.379000,0.04314466
0.380000,0.04343093
0.381000,0.04329362
0.382000,0.04306590
0.383000,0.04303072
0.384000,0.04325840
0.385000,0.04330230
0.386000,0.04340087
0.387000,0.04293906
0.388000,0.04311501
0.389000,0.04324721
0.390000,0.04367774
0.391000,0.04269350
0.392000,0.04339868
0.393000,0.04315862
0.394000,0.04340558
